"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 14 19:56:51 GMT 2023","Fri Jul 14 19:57:00 GMT 2023","9061","","Validar o endpoint /planets","","Validar o endpoint /planets","Validar o método GET","Validar o método GET",""
"passed","Fri Jul 14 19:56:22 GMT 2023","Fri Jul 14 19:56:24 GMT 2023","1772","","Validar o endpoint /films/{id}","","Validar o endpoint /films/{id}","Validar o método GET","Validar o método GET",""
"passed","Fri Jul 14 19:56:35 GMT 2023","Fri Jul 14 19:56:36 GMT 2023","798","","Validar o endpoint /people/{id}","","Validar o endpoint /people/{id}","Validar o método GET","Validar o método GET",""
"passed","Fri Jul 14 19:57:06 GMT 2023","Fri Jul 14 19:57:09 GMT 2023","2976","","Validar o endpoint /species","","Validar o endpoint /species","Validar o método GET","Validar o método GET",""
"passed","Fri Jul 14 19:56:44 GMT 2023","Fri Jul 14 19:56:48 GMT 2023","4045","","Validar o endpoint /planets/{id}","","Validar o endpoint /planets/{id}","Validar o método GET","Validar o método GET",""
"passed","Fri Jul 14 19:57:03 GMT 2023","Fri Jul 14 19:57:04 GMT 2023","1054","","Validar o endpoint /species/{id}","","Validar o endpoint /species/{id}","Validar o método GET","Validar o método GET",""
"passed","Fri Jul 14 19:57:21 GMT 2023","Fri Jul 14 19:57:23 GMT 2023","2066","","Validar o endpoint /vehicles/{id}","","Validar o endpoint /vehicles/{id}","Validar o método GET","Validar o método GET",""
"passed","Fri Jul 14 19:57:12 GMT 2023","Fri Jul 14 19:57:13 GMT 2023","793","","Validar o endpoint /startships/{id}","","Validar o endpoint /startships/{id}","Validar o método GET","Validar o método GET",""
"passed","Fri Jul 14 19:57:25 GMT 2023","Fri Jul 14 19:57:28 GMT 2023","2151","","Validar o endpoint /vehicles","","Validar o endpoint /vehicles","Validar o método GET","Validar o método GET",""
"passed","Fri Jul 14 19:56:26 GMT 2023","Fri Jul 14 19:56:32 GMT 2023","6018","","Validar o endpoint /films","","Validar o endpoint /films","Validar o método GET","Validar o método GET",""
"passed","Fri Jul 14 19:57:15 GMT 2023","Fri Jul 14 19:57:18 GMT 2023","2895","","Validar o endpoint /startships","","Validar o endpoint /startships","Validar o método GET","Validar o método GET",""
"passed","Fri Jul 14 19:56:39 GMT 2023","Fri Jul 14 19:56:41 GMT 2023","2499","","Validar o endpoint /people","","Validar o endpoint /people","Validar o método GET","Validar o método GET",""
